actors,director,movie_name
Gael García Bernal,Alejandro G. Iñárritu,Amores Perros
Goya Toledo,Alejandro G. Iñárritu,Amores Perros
Álvaro Guerrero,Alejandro G. Iñárritu,Amores Perros
Vanessa Bauche,Alejandro G. Iñárritu,Amores Perros
Jorge Salinas,Alejandro G. Iñárritu,Amores Perros
Marco Pérez,Alejandro G. Iñárritu,Amores Perros
Rodrigo Murray,Alejandro G. Iñárritu,Amores Perros
Humberto Busto,Alejandro G. Iñárritu,Amores Perros
Gerardo Campbell,Alejandro G. Iñárritu,Amores Perros
Rosa María Bianchi,Alejandro G. Iñárritu,Amores Perros
Dunia Saldívar,Alejandro G. Iñárritu,Amores Perros
Adriana Barraza,Alejandro G. Iñárritu,Amores Perros
José Sefami,Alejandro G. Iñárritu,Amores Perros
Lourdes Echevarría,Alejandro G. Iñárritu,Amores Perros
Laura Almela,Alejandro G. Iñárritu,Amores Perros
Ricardo Dalmacci,Alejandro G. Iñárritu,Amores Perros
Gustavo Sánchez Parra,Alejandro G. Iñárritu,Amores Perros
Gustavo Sánchez Parra,Alejandro G. Iñárritu,Amores Perros
Laurence Olivier,Alfred Hitchcock,Rebecca
Joan Fontaine,Alfred Hitchcock,Rebecca
George Sanders,Alfred Hitchcock,Rebecca
Judith Anderson,Alfred Hitchcock,Rebecca
Nigel Bruce,Alfred Hitchcock,Rebecca
Reginald Denny,Alfred Hitchcock,Rebecca
C. Aubrey Smith,Alfred Hitchcock,Rebecca
Gladys Cooper,Alfred Hitchcock,Rebecca
Florence Bates,Alfred Hitchcock,Rebecca
Melville Cooper,Alfred Hitchcock,Rebecca
Leo G. Carroll,Alfred Hitchcock,Rebecca
Leonard Carey,Alfred Hitchcock,Rebecca
Lumsden Hare,Alfred Hitchcock,Rebecca
Edward Fielding,Alfred Hitchcock,Rebecca
Philip Winter,Alfred Hitchcock,Rebecca
Forrester Harvey,Alfred Hitchcock,Rebecca
